proceedingKey;editor
journals/lncs/1993-759;Nabil R. Adam
journals/lncs/1993-759;Bharat K. Bhargava
journals/lncs/1994-910;Andreas Podelski
journals/lncs/1991-546;Otthein Herzog
journals/lncs/1991-546;Claus-Rainer Rollinger
journals/tedu/2009-2;Zhigeng Pan
journals/tedu/2009-2;Adrian David Cheok
journals/tedu/2009-2;Wolfgang Müller 0004
journals/tedu/2009-2;Abdennour El Rhalibi
journals/tedu/2010-4;Zhigeng Pan
journals/tedu/2010-4;Adrian David Cheok
journals/tedu/2010-4;Wolfgang Müller 0004
journals/tedu/2010-4;Xiaopeng Zhang 0001
journals/tedu/2010-4;Kevin Wong
journals/tedu/2011-6;Zhigeng Pan
journals/tedu/2011-6;Adrian David Cheok
journals/tedu/2011-6;Wolfgang Müller 0004
journals/tedu/2008-1;Zhigeng Pan
journals/tedu/2008-1;Adrian David Cheok
journals/tedu/2008-1;Wolfgang Müller 0004
journals/tedu/2008-1;Abdennour El Rhalibi
journals/tedu/2012-7;Zhigeng Pan
journals/tedu/2012-7;Adrian David Cheok
journals/tedu/2012-7;Wolfgang Müller 0004
journals/tedu/2012-7;Maiga Chang
journals/tedu/2012-7;Mingmin Zhang
journals/tedu/2012-8;Zhigeng Pan
journals/tedu/2012-8;Adrian David Cheok
journals/tedu/2012-8;Wolfgang Müller 0004
journals/tedu/2012-8;Maiga Chang
journals/tedu/2012-8;Mingmin Zhang
journals/tedu/2013-10;Zhigeng Pan
journals/tedu/2013-10;Adrian David Cheok
journals/tedu/2013-10;Wolfgang Müller 0004
journals/tedu/2013-10;Ido Iurgel
journals/tedu/2013-10;Paolo Petta
journals/tedu/2013-10;Bodo Urban
journals/tedu/2011-5;Zhigeng Pan
journals/tedu/2011-5;Adrian David Cheok
journals/tedu/2011-5;Wolfgang Müller 0004
journals/tedu/2011-5;Xubo Yang
journals/tedu/2009-3;Zhigeng Pan
journals/tedu/2009-3;Adrian David Cheok
journals/tedu/2009-3;Wolfgang Müller 0004
journals/tedu/2009-3;Maiga Chang
journals/tedu/2013-9;Zhigeng Pan
journals/tedu/2013-9;Adrian David Cheok
journals/tedu/2013-9;Wolfgang Müller 0004
journals/tedu/2013-9;Fotis Liarokapis