journals/lncs/1993-759;Advanced Database Systems;2003-01-21;1993;Lecture Notes in Computer Science;3-540-57507-3;db/journals/lncs/lncs759.html;;Springer
journals/lncs/1994-910;Constraint Programming: Basics and Trends, Châtillon Spring School, Châtillon-sur-Seine, France, May 16 - 20, 1994, Selected Papers;2003-01-21;1995;Lecture Notes in Computer Science;3-540-59155-9;db/journals/lncs/lncs910.html;;Springer
journals/lncs/1991-546;Text Understanding in LILOG, Integrating Computational Linguistics and Artificial Intelligence, Final Report on the IBM Germany LILOG-Project;2003-01-21;1991;Lecture Notes in Computer Science;3-540-54594-8;db/journals/lncs/lncs546.html;;Springer
journals/anthology/cd1-3;The ACM SIGMOD Anthology, CDROM Edition, Volume 1-3, PODS '82-'98;2005-05-18;1999;;;db/anthology.html#vol1;;
journals/anthology/dvd1;The ACM SIGMOD Anthology, Silver Edition, DVD 1, Proceedings;2005-05-19;2001;;;db/about/dvd1.html;;
journals/tedu/2009-2;Transactions on Edutainment II;2012-06-20;2009;Lecture Notes in Computer Science;978-3-642-03269-1;db/journals/tedu/tedu2.html;http://dx.doi.org/10.1007/978-3-642-03270-7;Springer
journals/tedu/2010-4;Transactions on Edutainment IV;2014-07-31;2010;Lecture Notes in Computer Science;978-3-642-14483-7;db/journals/tedu/tedu4.html;http://dx.doi.org/10.1007/978-3-642-14484-4;Springer
journals/tedu/2011-6;Transactions on Edutainment VI;2012-06-20;2011;Lecture Notes in Computer Science;978-3-642-22638-0;db/journals/tedu/tedu6.html;http://dx.doi.org/10.1007/978-3-642-22639-7;Springer
journals/tedu/2008-1;Transactions on Edutainment I;2012-06-20;2008;Lecture Notes in Computer Science;978-3-540-69737-4;db/journals/tedu/tedu1.html;;IGI Global
journals/tedu/2012-7;Transactions on Edutainment VII;2012-06-11;2012;Lecture Notes in Computer Science;978-3-642-29049-7;db/journals/tedu/tedu7.html;http://dx.doi.org/10.1007/978-3-642-29050-3;Springer
journals/tedu/2012-8;Transactions on Edutainment VIII;2012-06-11;2012;Lecture Notes in Computer Science;978-3-642-31438-4;db/journals/tedu/tedu8.html;http://dx.doi.org/10.1007/978-3-642-31439-1;Springer
journals/tedu/2013-10;Transactions on Edutainment X;2013-05-31;2013;Lecture Notes in Computer Science;978-3-642-37918-5;db/journals/tedu/tedu10.html;http://dx.doi.org/10.1007/978-3-642-37919-2;Springer
journals/tedu/2011-5;Transactions on Edutainment V;2012-06-20;2011;Lecture Notes in Computer Science;978-3-642-18451-2;db/journals/tedu/tedu5.html;http://dx.doi.org/10.1007/978-3-642-18452-9;Springer
journals/tedu/2009-3;Transactions on Edutainment III;2011-09-03;2009;Lecture Notes in Computer Science;978-3-642-11244-7;db/journals/tedu/tedu3.html;http://dx.doi.org/10.1007/978-3-642-11245-4;Springer
journals/tedu/2013-9;Transactions on Edutainment IX;2013-05-31;2013;Lecture Notes in Computer Science;978-3-642-37041-0;db/journals/tedu/tedu9.html;http://dx.doi.org/10.1007/978-3-642-37042-7;IGI Global